case_id,pipeline_id,modality,split,case_type,severity,unknown,insufficient_evidence,method,predicted_status,source_precision,source_recall,source_f1,source_jaccard,repair_precision,repair_recall,repair_f1,repair_jaccard,cut_precision,cut_recall,cut_f1,cut_jaccard,cut_exact,cut_cost_regret,repair_cost_regret,extra_repair_actions,recertified,false_certification,false_block,abstained,false_concrete_unknown,runtime_ms,trace
tabular_tree_a-development-0008,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,independent_if_else,insufficient_evidence,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,20.0,4.0,1,False,0.0,0.0,True,0.0,0.04856199984715204,
tabular_tree_a-development-0008,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,typed_route_without_cut,insufficient_evidence,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,20.0,4.0,1,False,0.0,0.0,True,0.0,0.09796599988476373,
tabular_tree_a-development-0008,tabular_tree_a,tabular,development,unknown_ambiguous,severe,True,True,full_h10,insufficient_evidence,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.0,20.0,4.0,1,True,0.0,0.0,True,0.0,0.3086960000473482,1fb9e409a41c4f26f20cbd5e1c7cac54a313376d77ff2c4696c5ba468bed89d4
tabular_tree_a-development-0009,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,1.0,0.036499000088952016,
tabular_tree_a-development-0009,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,1.0,0.07445199980793404,
tabular_tree_a-development-0009,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,1.0,0.2740700001595542,186c4be8fe71d9b1c7966f2df220ee1d82eda4d710945233bdc8d4c455115fcf
tabular_tree_a-development-0010,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.031800999749975745,
tabular_tree_a-development-0010,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.028625000140891643,
tabular_tree_a-development-0010,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.04232000037518446,d6e21bb17daf644360d3f5eff3144e3e31c4ac39110d11dcac8fb9758aa50121
tabular_tree_a-development-0011,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.028393000320647843,
tabular_tree_a-development-0011,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.024816999939503148,
tabular_tree_a-development-0011,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.027361999855202157,18b19b8e0c406640c0f7eeba972304223959eb2097f38cced084ddf65604a88e
tabular_tree_a-development-0012,tabular_tree_a,tabular,development,composite,subtle,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.029084999823680846,
tabular_tree_a-development-0012,tabular_tree_a,tabular,development,composite,subtle,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.05230899978414527,
tabular_tree_a-development-0012,tabular_tree_a,tabular,development,composite,subtle,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.18952900018121,0a082344f508ffae571e404e912981f3d41e84173b877c1580d98d2738d50c92
tabular_tree_a-development-0013,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.021691000256396364,
tabular_tree_a-development-0013,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.01918700036185328,
tabular_tree_a-development-0013,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.024786999802017817,924f17f2bfdd386b8c78724e5db255f58935a0a9deecd9ac6169931c964c5ba9
tabular_tree_a-development-0014,tabular_tree_a,tabular,development,composite,severe,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,2.0,0.0,0,False,0.0,0.0,False,0.0,0.027010999929188984,
tabular_tree_a-development-0014,tabular_tree_a,tabular,development,composite,severe,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,2.0,0.0,0,False,0.0,0.0,False,0.0,0.0791699999354023,
tabular_tree_a-development-0014,tabular_tree_a,tabular,development,composite,severe,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.1892789996418287,21e767baf062ed5bf7594f32cc26f5fa2b6916bd4ebcf945f77dfd469e599a0b
tabular_tree_a-development-0015,tabular_tree_a,tabular,development,single,subtle,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.032141000247065676,
tabular_tree_a-development-0015,tabular_tree_a,tabular,development,single,subtle,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.039936000121088,
tabular_tree_a-development-0015,tabular_tree_a,tabular,development,single,subtle,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.17556300008436665,c6ace8b9ed31ee4b4724323325b687bc0f3ec67b6e07be69bde0b8909c0cc4fb
tabular_tree_a-development-0016,tabular_tree_a,tabular,development,composite,moderate,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,5.0,0.0,0,False,0.0,0.0,False,0.0,0.031027999739308143,
tabular_tree_a-development-0016,tabular_tree_a,tabular,development,composite,moderate,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,5.0,0.0,0,False,0.0,0.0,False,0.0,0.059482999859028496,
tabular_tree_a-development-0016,tabular_tree_a,tabular,development,composite,moderate,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.19187399993825238,08bdca9d46ca6a2abb49493b15dfe7d5bed91043840a50d819e868b4652011f3
tabular_tree_a-development-0017,tabular_tree_a,tabular,development,single,severe,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.023954999960551504,
tabular_tree_a-development-0017,tabular_tree_a,tabular,development,single,severe,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.03354299997226917,
tabular_tree_a-development-0017,tabular_tree_a,tabular,development,single,severe,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.16306899988194345,90d80f1db150665cdae94121bf134faee96324adf96b15942af2551587e1f9f8
tabular_tree_a-development-0018,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,independent_if_else,insufficient_evidence,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,2.0,4.0,2,False,0.0,0.0,True,0.0,0.03546800007825368,
tabular_tree_a-development-0018,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,typed_route_without_cut,insufficient_evidence,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,2.0,4.0,2,False,0.0,0.0,True,0.0,0.06333999999696971,
tabular_tree_a-development-0018,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,full_h10,insufficient_evidence,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,True,0.0,0.0,True,0.0,0.18655400026545976,5315eda5f0ca7ac66e9442e1192da23d2ef8e3542216b9f8133f877fb556daa2
tabular_tree_a-development-0019,tabular_tree_a,tabular,development,clean,none,False,False,independent_if_else,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.01929600011862931,
tabular_tree_a-development-0019,tabular_tree_a,tabular,development,clean,none,False,False,typed_route_without_cut,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.019335999695613282,
tabular_tree_a-development-0019,tabular_tree_a,tabular,development,clean,none,False,False,full_h10,valid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.02459699999235454,ae66a55e55eefe1fbdbacf6c81a650cc706bd900f8ff77777e95f06075f8de64
tabular_tree_a-development-0020,tabular_tree_a,tabular,development,composite,severe,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.0,2.0,0.0,0,False,0.0,0.0,False,0.0,0.057749000006879214,
tabular_tree_a-development-0020,tabular_tree_a,tabular,development,composite,severe,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.0,2.0,0.0,0,False,0.0,0.0,False,0.0,0.09244500006388989,
tabular_tree_a-development-0020,tabular_tree_a,tabular,development,composite,severe,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.2192960000684252,2b91b8f8f917e8c8cf6e3a807be9ead8f193ea555feec018d51cb93ca9a8837c
tabular_tree_a-development-0021,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,1.0,0.03045799985557096,
tabular_tree_a-development-0021,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,1.0,0.06791899977542926,
tabular_tree_a-development-0021,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,1.0,0.2214599999206257,06ba691ba746036bfd5ccb53cae0eb7051c6cad3b5881aec43da14d88fcb8ee3
tabular_tree_a-development-0022,tabular_tree_a,tabular,development,single,moderate,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.030098000024736393,
tabular_tree_a-development-0022,tabular_tree_a,tabular,development,single,moderate,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.05315099997460493,
tabular_tree_a-development-0022,tabular_tree_a,tabular,development,single,moderate,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.20943699973940966,daf9bceca459776b65c15e19ca634297af3f754cafc2cc3c3b9f27ef2627b693
tabular_tree_a-development-0023,tabular_tree_a,tabular,development,composite,severe,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.028835000193794258,
tabular_tree_a-development-0023,tabular_tree_a,tabular,development,composite,severe,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.07093500016708276,
tabular_tree_a-development-0023,tabular_tree_a,tabular,development,composite,severe,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.18498100007491303,bcf3b6f6445085deef203a12fb20f3be749141a060a3303d55cec6beacac793b
tabular_tree_a-development-0024,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.025829000151134096,
tabular_tree_a-development-0024,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.024015000235522166,
tabular_tree_a-development-0024,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,True,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,True,0.0,0.0,False,1.0,0.19526100004441105,707b66f09e14d628a08438eb605f1944fa6de17f72df50bf9f81a841e402ecd1
tabular_tree_a-development-0025,tabular_tree_a,tabular,development,single,moderate,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.02836400017258711,
tabular_tree_a-development-0025,tabular_tree_a,tabular,development,single,moderate,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.05761900001743925,
tabular_tree_a-development-0025,tabular_tree_a,tabular,development,single,moderate,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.24087699966912623,9cabd58295e16c80b9ca7ec0e6365a92c4ba1ccf48b1fba1feed5580598c86a4
tabular_tree_a-development-0026,tabular_tree_a,tabular,development,composite,severe,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,0.0,0,False,0.0,0.0,False,0.0,0.03224100009902031,
tabular_tree_a-development-0026,tabular_tree_a,tabular,development,composite,severe,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,0.0,0,False,0.0,0.0,False,0.0,0.07112499997674604,
tabular_tree_a-development-0026,tabular_tree_a,tabular,development,composite,severe,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.19623299976956332,19c30d4069a3c452b0956f94ed8da14357642e5d40e6df82c00ef8ece4eb2b71
tabular_tree_a-development-0027,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.03257199978179415,
tabular_tree_a-development-0027,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,False,0.0,0.0,False,1.0,0.053030999879410956,
tabular_tree_a-development-0027,tabular_tree_a,tabular,development,unknown_ambiguous,subtle,True,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.0,19.0,0.0,0,True,0.0,0.0,False,1.0,0.21004800009905011,18c52f706d830fc0402283e7f13ea0eafd3efb8d12eaa17d6d13382e951c6337
tabular_tree_a-development-0028,tabular_tree_a,tabular,development,single,moderate,False,False,independent_if_else,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.027831999886984704,
tabular_tree_a-development-0028,tabular_tree_a,tabular,development,single,moderate,False,False,typed_route_without_cut,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,False,0.0,0.0,False,0.0,0.06422199976441334,
tabular_tree_a-development-0028,tabular_tree_a,tabular,development,single,moderate,False,False,full_h10,invalid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,True,0.0,0.0,False,0.0,0.17110499993577832,c30dbea0a71355d9f856b5a9b2a19893d3fce908a65575fd221a55573b5e8e50
