case_id,pipeline_id,complexity_stratum,perturbation_id,node_multiplier,edge_multiplier,human_multiplier,cost_registry_sha256,gold_cut_set,fuzzyxai_cut,baseline_cut,fuzzyxai_membership,baseline_membership,fuzzyxai_recertification,baseline_recertification,repair_baseline_recertification,false_certification,new_critical_violations
h10-c3:protocol_validation:tabular-credit:00010,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00011,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00012,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00013,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00014,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00015,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00016,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00017,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00018,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00019,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00020,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00021,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00022,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00023,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00024,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,[],[],"[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00025,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00026,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00027,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00028,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00029,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00030,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00031,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00032,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00033,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00034,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00035,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00036,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00037,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00038,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00039,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00040,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00041,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00042,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00043,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00044,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00045,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00046,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00047,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00048,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00049,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00050,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00051,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00052,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00053,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,[],[],"[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00054,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00055,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00056,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00057,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00058,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00059,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00060,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00061,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00062,tabular-credit,S4,node_down_edge_up,0.8,1.2,1.0,a901a69fd30869489571b8fa186f723cf2aead7e088dae5a80b39a02fccea052,"[[""alternative-global-a""]]","[""alternative-global-a""]","[""greedy-global-023"", ""greedy-single-1""]",True,False,True,False,True,False,0
h10-c3:protocol_validation:tabular-credit:00063,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00064,tabular-credit,S5,node_down_edge_up,0.8,1.2,1.0,bd7fb907e7e2cdd46c7952fd5fae2bdf556ea7bb275b39286e941894f575ed68,"[[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""], [""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]]","[""fallback-known-4"", ""greedy-global-023"", ""optimal-pair-01""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00065,tabular-credit,S1,node_down_edge_up,0.8,1.2,1.0,23a2f2432248979df7ec3d38fd04cf52953feb94492856e11b21651960a1a6e7,"[[""direct-0""]]","[""direct-0""]","[""direct-0""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00066,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00067,tabular-credit,S2,node_down_edge_up,0.8,1.2,1.0,75b1192affd971d791cacd2f07e33f4304add866ddacbf84015578105ab376c9,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,True,False,0
h10-c3:protocol_validation:tabular-credit:00068,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,False,False,0
h10-c3:protocol_validation:tabular-credit:00069,tabular-credit,S3,node_down_edge_up,0.8,1.2,1.0,c60cd577702f6b231f4cdee85fa6a739b34f7a9d5786b7addd1b915eb6575694,"[[""greedy-global-023"", ""greedy-single-1""], [""greedy-global-023"", ""optimal-pair-01""]]","[""greedy-global-023"", ""optimal-pair-01""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,True,False,True,False,0
