composite,detected,detection_delay,erroneous_repair_actions,hard_block,incident_id,manual_review,method,model_line,recertified,repair_delay,repair_success,start_event,trace_size,unknown
False,True,0,0,True,incident-013,True,typed_route,1,False,50,False,222375,0,False
False,True,0,0,False,incident-013,False,full_h10,1,True,10,True,222375,893,False
False,True,0,1,False,incident-014,False,simple_or,2,True,10,False,238752,0,False
False,True,0,0,False,incident-014,True,independent_if_else,2,False,60,False,238752,0,False
False,True,0,0,True,incident-014,True,typed_route,2,False,50,False,238752,0,False
False,True,0,0,False,incident-014,False,full_h10,2,True,10,True,238752,944,False
False,True,0,1,False,incident-015,False,simple_or,3,True,10,False,255967,0,False
False,True,0,0,False,incident-015,True,independent_if_else,3,False,60,False,255967,0,False
False,True,0,0,True,incident-015,True,typed_route,3,False,50,False,255967,0,False
False,True,0,0,False,incident-015,False,full_h10,3,True,10,True,255967,912,False
True,True,0,2,False,incident-016,False,simple_or,0,True,20,False,272083,0,True
True,True,0,0,False,incident-016,True,independent_if_else,0,False,70,False,272083,0,True
True,True,0,0,True,incident-016,True,typed_route,0,False,50,False,272083,0,True
True,True,0,1,False,incident-016,True,full_h10,0,True,20,True,272083,1298,True
False,True,0,1,False,incident-017,False,simple_or,1,True,10,False,288334,0,True
False,True,0,0,False,incident-017,True,independent_if_else,1,False,60,False,288334,0,True
False,True,0,0,True,incident-017,True,typed_route,1,False,50,False,288334,0,True
False,True,0,1,False,incident-017,True,full_h10,1,True,10,False,288334,903,True
False,True,0,1,False,incident-018,False,simple_or,2,True,10,False,304955,0,False
False,True,0,0,False,incident-018,True,independent_if_else,2,False,60,False,304955,0,False
False,True,0,0,True,incident-018,True,typed_route,2,False,50,False,304955,0,False
False,True,0,0,False,incident-018,False,full_h10,2,True,10,True,304955,945,False
False,True,0,1,False,incident-019,False,simple_or,3,True,10,False,321314,0,True
False,True,0,0,False,incident-019,True,independent_if_else,3,False,60,False,321314,0,True
False,True,0,0,True,incident-019,True,typed_route,3,False,50,False,321314,0,True
False,True,0,0,False,incident-019,True,full_h10,3,True,10,True,321314,896,True
True,True,0,2,False,incident-020,False,simple_or,0,True,20,False,336664,0,True
True,True,0,0,False,incident-020,True,independent_if_else,0,False,70,False,336664,0,True
True,True,0,0,True,incident-020,True,typed_route,0,False,50,False,336664,0,True
True,True,0,0,False,incident-020,False,full_h10,0,True,20,True,336664,1321,True
False,True,0,1,False,incident-021,False,simple_or,1,True,10,False,353788,0,True
False,True,0,0,False,incident-021,True,independent_if_else,1,False,60,False,353788,0,True
False,True,0,0,True,incident-021,True,typed_route,1,False,50,False,353788,0,True
False,True,0,0,False,incident-021,True,full_h10,1,True,10,True,353788,913,True
False,True,0,1,False,incident-022,False,simple_or,2,True,10,False,369552,0,False
False,True,0,0,False,incident-022,True,independent_if_else,2,False,60,False,369552,0,False
False,True,0,0,True,incident-022,True,typed_route,2,False,50,False,369552,0,False
False,True,0,0,False,incident-022,False,full_h10,2,True,10,True,369552,962,False
False,True,0,1,False,incident-023,False,simple_or,3,True,10,False,386500,0,False
False,True,0,0,False,incident-023,True,independent_if_else,3,False,60,False,386500,0,False
False,True,0,0,True,incident-023,True,typed_route,3,False,50,False,386500,0,False
False,True,0,0,False,incident-023,False,full_h10,3,True,10,True,386500,949,False
True,True,0,2,False,incident-024,False,simple_or,0,True,20,False,402223,0,True
True,True,0,0,False,incident-024,True,independent_if_else,0,False,70,False,402223,0,True
True,True,0,0,True,incident-024,True,typed_route,0,False,50,False,402223,0,True
True,True,0,0,False,incident-024,False,full_h10,0,True,20,True,402223,1320,True
False,True,0,1,False,incident-025,False,simple_or,1,True,10,False,419277,0,False
False,True,0,0,False,incident-025,True,independent_if_else,1,False,60,False,419277,0,False
False,True,0,0,True,incident-025,True,typed_route,1,False,50,False,419277,0,False
False,True,0,0,False,incident-025,False,full_h10,1,True,10,True,419277,891,False
False,True,0,1,False,incident-026,False,simple_or,2,True,10,False,435261,0,False
False,True,0,0,False,incident-026,True,independent_if_else,2,False,60,False,435261,0,False
False,True,0,0,True,incident-026,True,typed_route,2,False,50,False,435261,0,False
False,True,0,0,False,incident-026,False,full_h10,2,True,10,True,435261,873,False
False,True,0,1,False,incident-027,False,simple_or,3,True,10,False,451048,0,False
False,True,0,0,False,incident-027,True,independent_if_else,3,False,60,False,451048,0,False
False,True,0,0,True,incident-027,True,typed_route,3,False,50,False,451048,0,False
False,True,0,0,False,incident-027,False,full_h10,3,True,10,True,451048,870,False
True,True,0,2,False,incident-028,False,simple_or,0,True,20,False,468114,0,False
True,True,0,0,False,incident-028,True,independent_if_else,0,False,70,False,468114,0,False
True,True,0,0,True,incident-028,True,typed_route,0,False,50,False,468114,0,False
True,True,0,0,False,incident-028,True,full_h10,0,True,20,True,468114,1263,False
False,True,0,1,False,incident-029,False,simple_or,1,True,10,False,484166,0,False
False,True,0,0,False,incident-029,True,independent_if_else,1,False,60,False,484166,0,False
False,True,0,0,True,incident-029,True,typed_route,1,False,50,False,484166,0,False
False,True,0,0,False,incident-029,False,full_h10,1,True,10,True,484166,922,False
False,True,0,1,False,incident-030,False,simple_or,2,True,10,False,500630,0,False
False,True,0,0,False,incident-030,True,independent_if_else,2,False,60,False,500630,0,False
False,True,0,0,True,incident-030,True,typed_route,2,False,50,False,500630,0,False
False,True,0,0,False,incident-030,False,full_h10,2,True,10,True,500630,889,False
False,True,0,1,False,incident-031,False,simple_or,3,True,10,False,516836,0,False
False,True,0,0,False,incident-031,True,independent_if_else,3,False,60,False,516836,0,False
False,True,0,0,True,incident-031,True,typed_route,3,False,50,False,516836,0,False
False,True,0,0,False,incident-031,False,full_h10,3,True,10,True,516836,903,False
True,True,0,2,False,incident-032,False,simple_or,0,True,20,False,533050,0,True
True,True,0,0,False,incident-032,True,independent_if_else,0,False,70,False,533050,0,True
True,True,0,0,True,incident-032,True,typed_route,0,False,50,False,533050,0,True
True,True,0,0,False,incident-032,False,full_h10,0,True,10,True,533050,933,True
False,True,0,1,False,incident-033,False,simple_or,1,True,10,False,549372,0,False
False,True,0,0,False,incident-033,True,independent_if_else,1,False,60,False,549372,0,False
False,True,0,0,True,incident-033,True,typed_route,1,False,50,False,549372,0,False
False,True,0,0,False,incident-033,False,full_h10,1,True,10,True,549372,923,False
False,True,0,1,False,incident-034,False,simple_or,2,True,10,False,565894,0,True
False,True,0,0,False,incident-034,True,independent_if_else,2,False,60,False,565894,0,True
False,True,0,0,True,incident-034,True,typed_route,2,False,50,False,565894,0,True
False,True,0,0,False,incident-034,True,full_h10,2,True,10,True,565894,875,True
False,True,0,1,False,incident-035,False,simple_or,3,True,10,False,582650,0,False
False,True,0,0,False,incident-035,True,independent_if_else,3,False,60,False,582650,0,False
False,True,0,0,True,incident-035,True,typed_route,3,False,50,False,582650,0,False
False,True,0,0,False,incident-035,False,full_h10,3,True,10,True,582650,914,False
True,True,0,2,False,incident-036,False,simple_or,0,True,20,False,598631,0,True
True,True,0,0,False,incident-036,True,independent_if_else,0,False,70,False,598631,0,True
True,True,0,0,True,incident-036,True,typed_route,0,False,50,False,598631,0,True
True,True,0,0,False,incident-036,False,full_h10,0,True,20,True,598631,1255,True
False,True,0,1,False,incident-037,False,simple_or,1,True,10,False,614665,0,False
False,True,0,0,False,incident-037,True,independent_if_else,1,False,60,False,614665,0,False
False,True,0,0,True,incident-037,True,typed_route,1,False,50,False,614665,0,False
False,True,0,0,False,incident-037,False,full_h10,1,True,10,True,614665,938,False
False,True,0,1,False,incident-038,False,simple_or,2,True,10,False,631581,0,False
False,True,0,0,False,incident-038,True,independent_if_else,2,False,60,False,631581,0,False
False,True,0,0,True,incident-038,True,typed_route,2,False,50,False,631581,0,False
False,True,0,0,False,incident-038,False,full_h10,2,True,10,True,631581,927,False
False,True,0,1,False,incident-039,False,simple_or,3,True,10,False,647007,0,False
False,True,0,0,False,incident-039,True,independent_if_else,3,False,60,False,647007,0,False
False,True,0,0,True,incident-039,True,typed_route,3,False,50,False,647007,0,False
False,True,0,0,False,incident-039,False,full_h10,3,True,10,True,647007,937,False
True,True,0,2,False,incident-040,False,simple_or,0,True,20,False,664012,0,False
True,True,0,0,False,incident-040,True,independent_if_else,0,False,70,False,664012,0,False
True,True,0,0,True,incident-040,True,typed_route,0,False,50,False,664012,0,False
True,True,0,0,False,incident-040,True,full_h10,0,True,20,True,664012,1272,False
False,True,0,1,False,incident-041,False,simple_or,1,True,10,False,680087,0,False
False,True,0,0,False,incident-041,True,independent_if_else,1,False,60,False,680087,0,False
False,True,0,0,True,incident-041,True,typed_route,1,False,50,False,680087,0,False
False,True,0,0,False,incident-041,False,full_h10,1,True,10,True,680087,873,False
False,True,0,1,False,incident-042,False,simple_or,2,True,10,False,696447,0,False
False,True,0,0,False,incident-042,True,independent_if_else,2,False,60,False,696447,0,False
False,True,0,0,True,incident-042,True,typed_route,2,False,50,False,696447,0,False
False,True,0,0,False,incident-042,False,full_h10,2,True,10,True,696447,870,False
False,True,0,1,False,incident-043,False,simple_or,3,True,10,False,712590,0,False
False,True,0,0,False,incident-043,True,independent_if_else,3,False,60,False,712590,0,False
False,True,0,0,True,incident-043,True,typed_route,3,False,50,False,712590,0,False
False,True,0,0,False,incident-043,False,full_h10,3,True,10,True,712590,871,False
True,True,0,2,False,incident-044,False,simple_or,0,True,20,False,729018,0,False
True,True,0,0,False,incident-044,True,independent_if_else,0,False,70,False,729018,0,False
True,True,0,0,True,incident-044,True,typed_route,0,False,50,False,729018,0,False
True,True,0,0,False,incident-044,True,full_h10,0,True,20,True,729018,1256,False
False,True,0,1,False,incident-045,False,simple_or,1,True,10,False,745717,0,False
False,True,0,0,False,incident-045,True,independent_if_else,1,False,60,False,745717,0,False
False,True,0,0,True,incident-045,True,typed_route,1,False,50,False,745717,0,False
False,True,0,0,False,incident-045,False,full_h10,1,True,10,True,745717,889,False
False,True,0,1,False,incident-046,False,simple_or,2,True,10,False,762144,0,False
False,True,0,0,False,incident-046,True,independent_if_else,2,False,60,False,762144,0,False
False,True,0,0,True,incident-046,True,typed_route,2,False,50,False,762144,0,False
False,True,0,0,False,incident-046,False,full_h10,2,True,10,True,762144,903,False
False,True,0,1,False,incident-047,False,simple_or,3,True,10,False,778002,0,True
False,True,0,0,False,incident-047,True,independent_if_else,3,False,60,False,778002,0,True
False,True,0,0,True,incident-047,True,typed_route,3,False,50,False,778002,0,True
False,True,0,1,False,incident-047,True,full_h10,3,True,10,False,778002,880,True
False,True,0,1,False,incident-048,False,simple_or,0,True,10,False,794016,0,False
False,True,0,0,False,incident-048,True,independent_if_else,0,False,60,False,794016,0,False
False,True,0,0,True,incident-048,True,typed_route,0,False,50,False,794016,0,False
False,True,0,0,False,incident-048,False,full_h10,0,True,10,True,794016,923,False
False,True,0,1,False,incident-049,False,simple_or,1,True,10,False,810671,0,True
False,True,0,0,False,incident-049,True,independent_if_else,1,False,60,False,810671,0,True
False,True,0,0,True,incident-049,True,typed_route,1,False,50,False,810671,0,True
False,True,0,0,False,incident-049,True,full_h10,1,True,10,True,810671,875,True
False,True,0,1,False,incident-050,False,simple_or,2,True,10,False,827192,0,False
False,True,0,0,False,incident-050,True,independent_if_else,2,False,60,False,827192,0,False
False,True,0,0,True,incident-050,True,typed_route,2,False,50,False,827192,0,False
False,True,0,0,False,incident-050,False,full_h10,2,True,10,True,827192,914,False
False,True,0,1,False,incident-051,False,simple_or,3,True,10,False,843512,0,True
False,True,0,0,False,incident-051,True,independent_if_else,3,False,60,False,843512,0,True
False,True,0,0,True,incident-051,True,typed_route,3,False,50,False,843512,0,True
False,True,0,0,False,incident-051,True,full_h10,3,True,10,True,843512,890,True
True,True,0,2,False,incident-052,False,simple_or,0,True,20,False,859903,0,False
True,True,0,0,False,incident-052,True,independent_if_else,0,False,70,False,859903,0,False
True,True,0,0,True,incident-052,True,typed_route,0,False,50,False,859903,0,False
True,True,0,0,False,incident-052,True,full_h10,0,True,20,True,859903,1282,False
False,True,0,1,False,incident-053,False,simple_or,1,True,10,False,876059,0,False
False,True,0,0,False,incident-053,True,independent_if_else,1,False,60,False,876059,0,False
False,True,0,0,True,incident-053,True,typed_route,1,False,50,False,876059,0,False
False,True,0,0,False,incident-053,False,full_h10,1,True,10,True,876059,928,False
False,True,0,1,False,incident-054,False,simple_or,2,True,10,False,892561,0,False
False,True,0,0,False,incident-054,True,independent_if_else,2,False,60,False,892561,0,False
False,True,0,0,True,incident-054,True,typed_route,2,False,50,False,892561,0,False
False,True,0,0,False,incident-054,False,full_h10,2,True,10,True,892561,936,False
False,True,0,1,False,incident-055,False,simple_or,3,True,10,False,908954,0,False
False,True,0,0,False,incident-055,True,independent_if_else,3,False,60,False,908954,0,False
False,True,0,0,True,incident-055,True,typed_route,3,False,50,False,908954,0,False
False,True,0,0,False,incident-055,False,full_h10,3,True,10,True,908954,892,False
True,True,0,2,False,incident-056,False,simple_or,0,True,20,False,925402,0,False
True,True,0,0,False,incident-056,True,independent_if_else,0,False,70,False,925402,0,False
True,True,0,0,True,incident-056,True,typed_route,0,False,50,False,925402,0,False
True,True,0,1,False,incident-056,True,full_h10,0,True,20,True,925402,1312,False
False,True,0,1,False,incident-057,False,simple_or,1,True,10,False,941753,0,False
False,True,0,0,False,incident-057,True,independent_if_else,1,False,60,False,941753,0,False
False,True,0,0,True,incident-057,True,typed_route,1,False,50,False,941753,0,False
False,True,0,0,False,incident-057,False,full_h10,1,True,10,True,941753,871,False
False,True,0,1,False,incident-058,False,simple_or,2,True,10,False,957506,0,False
False,True,0,0,False,incident-058,True,independent_if_else,2,False,60,False,957506,0,False
False,True,0,0,True,incident-058,True,typed_route,2,False,50,False,957506,0,False
False,True,0,0,False,incident-058,False,full_h10,2,True,10,True,957506,893,False
False,True,0,1,False,incident-059,False,simple_or,3,True,10,False,974620,0,False
False,True,0,0,False,incident-059,True,independent_if_else,3,False,60,False,974620,0,False
False,True,0,0,True,incident-059,True,typed_route,3,False,50,False,974620,0,False
False,True,0,0,False,incident-059,False,full_h10,3,True,10,True,974620,944,False
