paragraph_index,matched_text,context,F_H_in_F_core,F_H_in_protected_positions,F_H_in_main_experiment,optional_appendix_note
180,hesitant,"В нормированной шкале [0,1] эти ограничения имеют явный вид. Для редукции интервала к середине потеря не превосходит половины его ширины и поэтому не больше 1/2. Для hesitant-представления хаусдорфово расстояние между конечными подмножествами [0,1] не превосходит 1. Для нейтрософского представления максимум по компонентам T, I и F также не превосходит 1. Если используется среднее или взвешенное агрегирование конечного числа уровней F_ML, ограниченность следует из конечности числа уровней и норми",0,0,0,0
180,Hesitant,"В нормированной шкале [0,1] эти ограничения имеют явный вид. Для редукции интервала к середине потеря не превосходит половины его ширины и поэтому не больше 1/2. Для hesitant-представления хаусдорфово расстояние между конечными подмножествами [0,1] не превосходит 1. Для нейтрософского представления максимум по компонентам T, I и F также не превосходит 1. Если используется среднее или взвешенное агрегирование конечного числа уровней F_ML, ограниченность следует из конечности числа уровней и норми",0,0,0,0
181,hesitant,"Таким образом, для каждого класса из F_core величины Δ_{b→a}(A) конструктивно ограничены: для интервала — полушириной, для hesitant-представления — диаметром множества оценок, для нейтрософского представления — максимумом отклонений по T, I и F, а для F_ML — конечной взвешенной суммой уровней. Если Δ_{b→a}(A)≤ε, то Π_{b→a}(A) является ε-аппроксимацией исходного объекта по определению меры D_b. Это не отдельная теорема, а проверяемое условие допустимости редукции; при превышении порога Δ_max сохр",0,0,0,0
181,Hesitant,"Таким образом, для каждого класса из F_core величины Δ_{b→a}(A) конструктивно ограничены: для интервала — полушириной, для hesitant-представления — диаметром множества оценок, для нейтрософского представления — максимумом отклонений по T, I и F, а для F_ML — конечной взвешенной суммой уровней. Если Δ_{b→a}(A)≤ε, то Π_{b→a}(A) является ε-аппроксимацией исходного объекта по определению меры D_b. Это не отдельная теорема, а проверяемое условие допустимости редукции; при превышении порога Δ_max сохр",0,0,0,0
182,hesitant,"Если редукция Pi_{b->a} выбирается как оптимальная проекция на образ iota_{a->b}(F_a) относительно меры D_b, то Δ_{b->a}(A) имеет дополнительный смысл расстояния от A до подпространства более простых представлений. В настоящей реализации это свойство используется для интервальной редукции к середине и для конечных hesitant-редукций, где минимум достигается перебором допустимых кандидатов. Если редукция задана эвристически, Δ сохраняет смысл проверяемой потери, но не объявляется глобально минимал",0,0,0,0
182,Hesitant,"Если редукция Pi_{b->a} выбирается как оптимальная проекция на образ iota_{a->b}(F_a) относительно меры D_b, то Δ_{b->a}(A) имеет дополнительный смысл расстояния от A до подпространства более простых представлений. В настоящей реализации это свойство используется для интервальной редукции к середине и для конечных hesitant-редукций, где минимум достигается перебором допустимых кандидатов. Если редукция задана эвристически, Δ сохраняет смысл проверяемой потери, но не объявляется глобально минимал",0,0,0,0
192,hesitant,"Для интервального представления конструктивная оценка равна половине ширины интервала при редукции к середине. Для hesitant-представления она равна максимальному расстоянию от экспертной оценки до выбранного среднего или взвешенного среднего. Для нейтрософского представления она вычисляется как максимум по компонентам поддержки, неопределённости и отвержения после обратного вложения. Поэтому потеря редукции не является декларацией, а вычислимой величиной, входящей далее в d_E^ext и в риск-ориент",0,0,0,0
192,Hesitant,"Для интервального представления конструктивная оценка равна половине ширины интервала при редукции к середине. Для hesitant-представления она равна максимальному расстоянию от экспертной оценки до выбранного среднего или взвешенного среднего. Для нейтрософского представления она вычисляется как максимум по компонентам поддержки, неопределённости и отвержения после обратного вложения. Поэтому потеря редукции не является декларацией, а вычислимой величиной, входящей далее в d_E^ext и в риск-ориент",0,0,0,0
193,hesitant,"Замечание. Конструктивные оценки потерь для интервального, hesitant и нейтрософского классов приведены выше. Поэтому аппроксимационная корректность в данной главе понимается не как абстрактная возможность редукции, а как проверяемое численное условие, включаемое затем в расширенную меру рассогласования и в риск-ориентированный наблюдатель.",0,0,0,0
193,Hesitant,"Замечание. Конструктивные оценки потерь для интервального, hesitant и нейтрософского классов приведены выше. Поэтому аппроксимационная корректность в данной главе понимается не как абстрактная возможность редукции, а как проверяемое численное условие, включаемое затем в расширенную меру рассогласования и в риск-ориентированный наблюдатель.",0,0,0,0
233,hesitant,"Hesitant-представление для того же объекта формируется не из произвольных чисел, а из конкурирующих правил и локальных объяснительных источников: H(x0)={0,586773;0,648308;0,351692}. Первое значение соответствует активированному правилу высокого риска с учётом признаков concave points и texture, второе — агрегированной признаковой риск-координате z_feat, третье — контрсвидетельству низкорисковой компоненты. Средняя редукция даёт приблизительно 0,529. Потеря по хаусдорфову расстоянию до одноэлемен",0,0,0,0
233,Hesitant,"Hesitant-представление для того же объекта формируется не из произвольных чисел, а из конкурирующих правил и локальных объяснительных источников: H(x0)={0,586773;0,648308;0,351692}. Первое значение соответствует активированному правилу высокого риска с учётом признаков concave points и texture, второе — агрегированной признаковой риск-координате z_feat, третье — контрсвидетельству низкорисковой компоненты. Средняя редукция даёт приблизительно 0,529. Потеря по хаусдорфову расстоянию до одноэлемен",0,0,0,0
274,hesitant,"Практическая применимость иерархии зависит от вычислительной стоимости операций. Обозначим через число объектов универсума, через число термов, через число правил, через максимальное число экспертных оценок в hesitant-множестве, а через число гранул или классов неразличимости в rough-fuzzy-представлении.",0,0,0,0
274,Hesitant,"Практическая применимость иерархии зависит от вычислительной стоимости операций. Обозначим через число объектов универсума, через число термов, через число правил, через максимальное число экспертных оценок в hesitant-множестве, а через число гранул или классов неразличимости в rough-fuzzy-представлении.",0,0,0,0
279,hesitant,но с удвоенной константой. Для hesitant-множества обработка всех экспертных значений требует,0,0,0,0
279,Hesitant,но с удвоенной константой. Для hesitant-множества обработка всех экспертных значений требует,0,0,0,0
290,F_H,"В таблице 3.6 величина 10 для F_H является консервативной оценкой стоимости хаусдорфова сравнения hesitant-множеств размера q=3: попарное сравнение требует q^2=9 операций, а дополнительная единица учитывает выбор максимума. Для конфигурации F_ML-аудит добавочные величины N_trace и N_Gamma задаются в ExplainPlan; в приведённом расчёте использованы ориентировочные значения N_trace≈1000 для записи трассируемого следа и N_Gamma≈8000 для проверки межуровневых связей Γ.",0,0,0,0
290,hesitant,"В таблице 3.6 величина 10 для F_H является консервативной оценкой стоимости хаусдорфова сравнения hesitant-множеств размера q=3: попарное сравнение требует q^2=9 операций, а дополнительная единица учитывает выбор максимума. Для конфигурации F_ML-аудит добавочные величины N_trace и N_Gamma задаются в ExplainPlan; в приведённом расчёте использованы ориентировочные значения N_trace≈1000 для записи трассируемого следа и N_Gamma≈8000 для проверки межуровневых связей Γ.",0,0,0,0
290,Hesitant,"В таблице 3.6 величина 10 для F_H является консервативной оценкой стоимости хаусдорфова сравнения hesitant-множеств размера q=3: попарное сравнение требует q^2=9 операций, а дополнительная единица учитывает выбор максимума. Для конфигурации F_ML-аудит добавочные величины N_trace и N_Gamma задаются в ExplainPlan; в приведённом расчёте использованы ориентировочные значения N_trace≈1000 для записи трассируемого следа и N_Gamma≈8000 для проверки межуровневых связей Γ.",0,0,0,0
291,F_H,"В строке F_H коэффициент 10 является консервативной оценкой стоимости сравнения двух hesitant-множеств размера q=3 при вычислении хаусдорфова расстояния. Для q=3 требуется до q^2=9 попарных сравнений; округление до 10 учитывает служебную операцию выбора максимума и делает оценку верхней, а не подогнанной под пример.",0,0,0,0
291,hesitant,"В строке F_H коэффициент 10 является консервативной оценкой стоимости сравнения двух hesitant-множеств размера q=3 при вычислении хаусдорфова расстояния. Для q=3 требуется до q^2=9 попарных сравнений; округление до 10 учитывает служебную операцию выбора максимума и делает оценку верхней, а не подогнанной под пример.",0,0,0,0
291,Hesitant,"В строке F_H коэффициент 10 является консервативной оценкой стоимости сравнения двух hesitant-множеств размера q=3 при вычислении хаусдорфова расстояния. Для q=3 требуется до q^2=9 попарных сравнений; округление до 10 учитывает служебную операцию выбора максимума и делает оценку верхней, а не подогнанной под пример.",0,0,0,0
321,F_H,"В таблице 3.8 обозначение F_ML-пользователь соответствует конфигурации <F_int,F_H,F_N^src>, а F_ML-аудит - конфигурации <F_int,F_H,F_N^src,Ftrace>. Столбец парето-оптимальности следует читать с учётом режима ExplainPlan. Для пользовательского режима обязательный профиль включает числовую, лингвистическую, интервальную, экспертную и конфликтную неопределённость, но не требует отображать трассируемый слой пользователю. Поэтому F_ML-пользователь покрывает все пять пользовательских требований. Для а",0,0,0,0
322,F_H,"В строке F_ML-пользователь тип u_trace не включён внутрь пользовательского объекта: он сохраняется вне пользовательского представления, но остаётся доступен в аудиторском контуре. При этом экспертное расхождение сохраняется не внешним комментарием, а отдельным hesitant-уровнем F_H, поэтому пользовательская конфигурация остаётся достаточной для профиля без требования воспроизводимого аудита.",0,0,0,1
322,hesitant,"В строке F_ML-пользователь тип u_trace не включён внутрь пользовательского объекта: он сохраняется вне пользовательского представления, но остаётся доступен в аудиторском контуре. При этом экспертное расхождение сохраняется не внешним комментарием, а отдельным hesitant-уровнем F_H, поэтому пользовательская конфигурация остаётся достаточной для профиля без требования воспроизводимого аудита.",0,0,0,1
322,Hesitant,"В строке F_ML-пользователь тип u_trace не включён внутрь пользовательского объекта: он сохраняется вне пользовательского представления, но остаётся доступен в аудиторском контуре. При этом экспертное расхождение сохраняется не внешним комментарием, а отдельным hesitant-уровнем F_H, поэтому пользовательская конфигурация остаётся достаточной для профиля без требования воспроизводимого аудита.",0,0,0,1
323,hesitant,"Следовательно, F_ML-пользователь не сравнивается с F_ML-аудит как универсально лучший или худший кандидат. Это два решения для разных профилей: пользовательского и аудиторского. Если аудит включён в профиль, F_ML-пользователь не допускается; если аудит хранится внешним контуром и не предъявляется пользователю, F_ML-пользователь остаётся минимально достаточным, хотя по вычислительной сложности он близок к аудиторской конфигурации из-за сохранения hesitant-уровня.",0,0,0,1
323,Hesitant,"Следовательно, F_ML-пользователь не сравнивается с F_ML-аудит как универсально лучший или худший кандидат. Это два решения для разных профилей: пользовательского и аудиторского. Если аудит включён в профиль, F_ML-пользователь не допускается; если аудит хранится внешним контуром и не предъявляется пользователю, F_ML-пользователь остаётся минимально достаточным, хотя по вычислительной сложности он близок к аудиторской конфигурации из-за сохранения hesitant-уровня.",0,0,0,1
324,hesitant,"Из таблицы видно, что классическое, интервальное и отдельное hesitant-представление отбрасываются не потому, что они слабее вообще, а потому, что в данной ситуации не покрывают обязательный профиль. Источнико-аннотированное нейтрософское представление сохраняет конфликт и происхождение поддерживающих и опровергающих оценок, но не хранит интервальную неопределённость измерения, самостоятельный hesitant-уровень экспертных альтернатив и полный след. Поэтому для аудита оно недостаточно. Конфигурация",0,0,0,1
324,Hesitant,"Из таблицы видно, что классическое, интервальное и отдельное hesitant-представление отбрасываются не потому, что они слабее вообще, а потому, что в данной ситуации не покрывают обязательный профиль. Источнико-аннотированное нейтрософское представление сохраняет конфликт и происхождение поддерживающих и опровергающих оценок, но не хранит интервальную неопределённость измерения, самостоятельный hesitant-уровень экспертных альтернатив и полный след. Поэтому для аудита оно недостаточно. Конфигурация",0,0,0,1
346,hesitant,"Тем самым глава не утверждает, что один класс нечётких множеств является универсальным решением для всех объяснений. Наоборот, она показывает, когда классического множества достаточно, когда требуется интервальное или hesitant-представление, когда нужен источнико-аннотированный нейтрософский объект, а когда необходима многоуровневая конфигурация. В этом состоит самостоятельный вклад главы в докторскую диссертацию.",0,0,0,0
346,Hesitant,"Тем самым глава не утверждает, что один класс нечётких множеств является универсальным решением для всех объяснений. Наоборот, она показывает, когда классического множества достаточно, когда требуется интервальное или hesitant-представление, когда нужен источнико-аннотированный нейтрософский объект, а когда необходима многоуровневая конфигурация. В этом состоит самостоятельный вклад главы в докторскую диссертацию.",0,0,0,0
351,hesitant,"Это уточнение отделяет структурное представление от внешней интерпретации. Например, hesitant-множество может содержать два числа, но без специального протокола эти числа не являются нижней и верхней границами интервала. Поэтому оно не покрывает интервальную неопределённость как структурный тип. В обратную сторону интервал может хранить минимум и максимум экспертных оценок, но теряет число альтернатив и их дискретную природу, следовательно, он не покрывает экспертное расхождение как hesitant-тип",0,0,0,1
351,Hesitant,"Это уточнение отделяет структурное представление от внешней интерпретации. Например, hesitant-множество может содержать два числа, но без специального протокола эти числа не являются нижней и верхней границами интервала. Поэтому оно не покрывает интервальную неопределённость как структурный тип. В обратную сторону интервал может хранить минимум и максимум экспертных оценок, но теряет число альтернатив и их дискретную природу, следовательно, он не покрывает экспертное расхождение как hesitant-тип",0,0,0,1
381,F_H,"Утверждение 3.3 (завершимость редукции многоуровневого представления и оценка числа шагов). Пусть A_ML=<A_1,...,A_m,Gamma,w> является многоуровневым представлением с конечным числом уровней. Рассмотрим конечный граф редукций G_F с вершинами {F0, F_int, NAS, F_ML} и рёбрами F_ML->F_int, F_ML->F_H, F_ML->F_N^src, F_int->F0, F_H->F0, F_N^src->F0. Специализированные классы, не входящие в минимальное покрытие, могут подключаться в роли конечные ветви без обратных рёбер и не участвуют в доказательстве",0,0,0,0
382,F_H,"Доказательство. В заданном G_F все рёбра направлены от более выразительного класса к более простому. Обратных рёбер нет, поэтому цикл невозможен: любая последовательность редукций строго уменьшает глубину класса, где глубина F0 равна нулю, глубина F_int, F_H и F_N^src равна единице, а глубина F_ML равна двум. Любая успешная редукция уменьшает глубину выбранного уровня хотя бы на единицу. Если редукция запрещена порогом Δ_max, уровень помечается как нередуцируемый и больше не выбирается алгоритмо",0,0,0,0
407,F_H,"Обратные вложения ι_{a→b} задаются исключительно для тех рёбер графа редукций, которые входят в ExplainPlan. Для F_N^{src} в F_0 используется консервативное восстановление нейтрософской записи из одной степени через нулевую или базовую неопределённость и фиксированное правило источника. Для редукций между F_N^{src} и F_H такое вложение не предполагается автоматически: если ExplainPlan не задаёт, как источниковый конфликт переводится в множество альтернатив, соответствующее ребро в G_F отсутствуе",0,0,0,0
438,hesitant,"Для основных классов заданы редукции, обратные вложения и потери объяснительной информации. Редукция рассматривается как управляемое упрощение, политика которого зависит от цели объяснения. Поэтому середина интервала, среднее hesitant-множества или балансная нейтрософская редукция не объявляются единственно возможными, а фиксируются как варианты ExplainPlan.",0,0,0,0
438,Hesitant,"Для основных классов заданы редукции, обратные вложения и потери объяснительной информации. Редукция рассматривается как управляемое упрощение, политика которого зависит от цели объяснения. Поэтому середина интервала, среднее hesitant-множества или балансная нейтрософская редукция не объявляются единственно возможными, а фиксируются как варианты ExplainPlan.",0,0,0,0
452,hesitant,"4. Torra V. Hesitant Fuzzy Sets // International Journal of Intelligent Systems. 2010. Vol. 25, No. 6. P. 529-539.",0,0,0,0
452,Hesitant,"4. Torra V. Hesitant Fuzzy Sets // International Journal of Intelligent Systems. 2010. Vol. 25, No. 6. P. 529-539.",0,0,0,0
490,hesitant,"Неопределённость объяснения обозначается через. Она входит в расширенный объяснительный объект и вычисляется по правилам главы 2 с учётом выбранного представления неопределённости из главы 3. Если в объекте используется сложное представление, например интервальное, hesitant или нейтрософское, то является агрегированным значением, пригодным для дальнейшего сравнения и включения в функцию риска. При этом исходная структура неопределённости не уничтожается. Она сохраняется в поле, а потеря возможно",0,0,0,0
490,Hesitant,"Неопределённость объяснения обозначается через. Она входит в расширенный объяснительный объект и вычисляется по правилам главы 2 с учётом выбранного представления неопределённости из главы 3. Если в объекте используется сложное представление, например интервальное, hesitant или нейтрософское, то является агрегированным значением, пригодным для дальнейшего сравнения и включения в функцию риска. При этом исходная структура неопределённости не уничтожается. Она сохраняется в поле, а потеря возможно",0,0,0,0
493,hesitant,"Потеря редукции обозначается через. Она возникает, когда более выразительное представление неопределённости заменяется более простым. Такая замена может быть необходима для пользовательского интерфейса, отчёта или совместимости с последующим модулем. Однако редукция не должна проходить бесплатно. Если интервальное, hesitant или нейтрософское представление было сведено к одной числовой степени принадлежности, часть объяснительной информации теряется. Эта потеря должна влиять на риск применения пр",0,0,0,0
493,Hesitant,"Потеря редукции обозначается через. Она возникает, когда более выразительное представление неопределённости заменяется более простым. Такая замена может быть необходима для пользовательского интерфейса, отчёта или совместимости с последующим модулем. Однако редукция не должна проходить бесплатно. Если интервальное, hesitant или нейтрософское представление было сведено к одной числовой степени принадлежности, часть объяснительной информации теряется. Эта потеря должна влиять на риск применения пр",0,0,0,0
547,hesitant,"Рассмотрим медицинский сценарий, согласованный с примерами глав 2 и 3. Пусть модель оценивает риск осложнения для пациента и выдаёт нормированное значение. По данным калибровки предиктивный риск модели равен. Для объяснения выбран многоуровневый пользовательский профиль, включающий интервальный, hesitant и источнико-аннотированный нейтрософский уровни. После редукции к краткой пользовательской форме получена потеря. Агрегированная неопределённость объяснения равна, индекс предварительной интерпр",0,0,0,0
547,Hesitant,"Рассмотрим медицинский сценарий, согласованный с примерами глав 2 и 3. Пусть модель оценивает риск осложнения для пациента и выдаёт нормированное значение. По данным калибровки предиктивный риск модели равен. Для объяснения выбран многоуровневый пользовательский профиль, включающий интервальный, hesitant и источнико-аннотированный нейтрософский уровни. После редукции к краткой пользовательской форме получена потеря. Агрегированная неопределённость объяснения равна, индекс предварительной интерпр",0,0,0,0
578,hesitant,"1. Покрытие, невыразимость и минимальность. Для операционального пространства U_XAI и сигнатуры ExplainPlan задано проверяемое ядро F_core={F0,F_int,NAS,F_ML}; hesitant-представления сохраняется как вспомогательный класс альтернативных экспертных оценок и не является самостоятельным фокусом эксперимента. Доказано, что F0 принципиально не различает некоторые состояния с одинаковой числовой степенью, но разным типом неопределённости; поэтому выбор более выразительного класса является необходимым, ",0,0,0,0
578,Hesitant,"1. Покрытие, невыразимость и минимальность. Для операционального пространства U_XAI и сигнатуры ExplainPlan задано проверяемое ядро F_core={F0,F_int,NAS,F_ML}; hesitant-представления сохраняется как вспомогательный класс альтернативных экспертных оценок и не является самостоятельным фокусом эксперимента. Доказано, что F0 принципиально не различает некоторые состояния с одинаковой числовой степенью, но разным типом неопределённости; поэтому выбор более выразительного класса является необходимым, ",0,0,0,0
586,hesitant,"Hesitant-представления могут рассматриваться как внешний расширяемый класс для специальных сценариев экспертного расхождения, однако в минимальное рабочее ядро главы 3 они не включаются, поскольку финальная экспериментальная проверка использует F0, F_int, NAS и F_ML.",0,0,0,1
586,Hesitant,"Hesitant-представления могут рассматриваться как внешний расширяемый класс для специальных сценариев экспертного расхождения, однако в минимальное рабочее ядро главы 3 они не включаются, поскольку финальная экспериментальная проверка использует F0, F_int, NAS и F_ML.",0,0,0,1
587,hesitant,Вставка из patches/chapter3_remove_hesitant_from_core.md,0,0,0,0
587,Hesitant,Вставка из patches/chapter3_remove_hesitant_from_core.md,0,0,0,0
589,hesitant,"Минимальное ядро главы 3 задаётся как `F_core = {F0, F_int, NAS, F_ML}`, где `NAS = F_N^src`. Класс `hesitant-представления` исключается из основного ядра и не используется в финальной экспериментальной проверке. Hesitant-представления могут рассматриваться как внешний расширяемый класс, но в минимальное ядро главы 3 не входят, поскольку не участвуют в финальной экспериментальной проверке.",0,0,0,1
589,Hesitant,"Минимальное ядро главы 3 задаётся как `F_core = {F0, F_int, NAS, F_ML}`, где `NAS = F_N^src`. Класс `hesitant-представления` исключается из основного ядра и не используется в финальной экспериментальной проверке. Hesitant-представления могут рассматриваться как внешний расширяемый класс, но в минимальное ядро главы 3 не входят, поскольку не участвуют в финальной экспериментальной проверке.",0,0,0,1
