source_index,incident_id,repository_id,accepted,reason,contract_family,source_component,changed_files,gold_repair_operation,route_relevance_score
44,django__django-12915,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/contrib/staticfiles/handlers.py""]",artifact_regeneration,18
45,django__django-12983,django/django,False,outside_locked_route_contracts,,preprocessing,"[""django/utils/text.py""]",,1
46,django__django-13028,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/query.py""]",artifact_regeneration,20
47,django__django-13033,django/django,False,outside_locked_route_contracts,PREPROCESSING_SCHEMA,model,"[""django/db/models/sql/compiler.py""]",schema_synchronization,2
48,django__django-13158,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/query.py""]",artifact_regeneration,4
49,django__django-13220,django/django,False,outside_locked_route_contracts,,runtime,"[""django/core/exceptions.py""]",,1
50,django__django-13230,django/django,False,feature_or_enhancement,,runtime,"[""django/contrib/syndication/views.py""]",,1
51,django__django-13265,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,model,"[""django/db/migrations/autodetector.py""]",schema_synchronization,20
52,django__django-13315,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/forms/models.py""]",configuration_correction,3
53,django__django-13321,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""django/contrib/sessions/backends/base.py""]",artifact_regeneration,29
54,django__django-13401,django/django,False,outside_locked_route_contracts,DEPENDENCY_VERSION,model,"[""django/db/models/fields/__init__.py""]",dependency_pin_update,2
55,django__django-13447,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,model,"[""django/contrib/admin/sites.py""]",schema_synchronization,3
56,django__django-13448,django/django,False,feature_or_enhancement,ARTIFACT_PROVENANCE,dependencies,"[""django/db/backends/base/creation.py""]",artifact_regeneration,27
57,django__django-13551,django/django,False,outside_locked_route_contracts,,model,"[""django/contrib/auth/tokens.py""]",,1
58,django__django-13590,django/django,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/query.py""]",artifact_regeneration,2
59,django__django-13658,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/core/management/__init__.py""]",configuration_correction,10
60,django__django-13660,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/core/management/commands/shell.py""]",configuration_correction,14
61,django__django-13710,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/contrib/admin/options.py""]",configuration_correction,5
62,django__django-13757,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/db/models/fields/json.py""]",serialization_format_correction,12
63,django__django-13768,django/django,False,outside_locked_route_contracts,,runtime,"[""django/dispatch/dispatcher.py""]",,1
64,django__django-13925,django/django,True,accepted_for_h10_c5,PIPELINE_CONFIGURATION,model,"[""django/db/models/base.py""]",configuration_correction,36
65,django__django-13933,django/django,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,model,"[""django/forms/models.py""]",configuration_correction,2
66,django__django-13964,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,model,"[""django/db/models/base.py""]",serialization_format_correction,9
67,django__django-14016,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,model,"[""django/db/models/query_utils.py""]",serialization_format_correction,4
68,django__django-14017,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/query_utils.py""]",,1
69,django__django-14155,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,data_schema,"[""django/urls/resolvers.py""]",artifact_regeneration,3
70,django__django-14238,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/fields/__init__.py""]",artifact_regeneration,20
71,django__django-14382,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/core/management/templates.py""]",artifact_regeneration,10
72,django__django-14411,django/django,False,outside_locked_route_contracts,,runtime,"[""django/contrib/auth/forms.py""]",,1
73,django__django-14534,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/forms/boundfield.py""]",schema_synchronization,3
74,django__django-14580,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,model,"[""django/db/migrations/serializer.py""]",serialization_format_correction,9
75,django__django-14608,django/django,False,outside_locked_route_contracts,,runtime,"[""django/forms/formsets.py""]",,1
76,django__django-14667,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/sql/query.py""]",,1
77,django__django-14672,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/fields/reverse_related.py""]",artifact_regeneration,25
78,django__django-14730,django/django,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,model,"[""django/db/models/fields/related.py""]",configuration_correction,2
79,django__django-14752,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/contrib/admin/views/autocomplete.py""]",serialization_format_correction,27
80,django__django-14787,django/django,False,outside_locked_route_contracts,,runtime,"[""django/utils/decorators.py""]",,1
81,django__django-14855,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/contrib/admin/helpers.py""]",configuration_correction,3
82,django__django-14915,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/forms/models.py""]",schema_synchronization,11
83,django__django-14997,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/db/backends/ddl_references.py""]",artifact_regeneration,24
84,django__django-14999,django/django,False,outside_locked_route_contracts,,model,"[""django/db/migrations/operations/models.py""]",,1
85,django__django-15061,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/forms/widgets.py""]",schema_synchronization,3
86,django__django-15202,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/core/validators.py""]",artifact_regeneration,9
87,django__django-15213,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/fields/__init__.py""]",,1
88,django__django-15252,django/django,False,outside_locked_route_contracts,,data_schema,"[""django/db/migrations/executor.py""]",,1
89,django__django-15320,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/expressions.py""]",,1
90,django__django-15347,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/contrib/messages/storage/cookie.py""]",serialization_format_correction,5
91,django__django-15388,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""django/template/autoreload.py""]",artifact_regeneration,11
92,django__django-15400,django/django,False,outside_locked_route_contracts,,runtime,"[""django/utils/functional.py""]",,1
93,django__django-15498,django/django,False,outside_locked_route_contracts,,runtime,"[""django/views/static.py""]",,1
94,django__django-15695,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/db/migrations/operations/models.py""]",schema_synchronization,16
95,django__django-15738,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,model,"[""django/db/migrations/autodetector.py""]",schema_synchronization,8
96,django__django-15781,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""django/core/management/base.py""]",artifact_regeneration,6
97,django__django-15789,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/utils/html.py""]",serialization_format_correction,23
98,django__django-15790,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""django/core/checks/templates.py""]",artifact_regeneration,7
99,django__django-15814,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/query.py""]",artifact_regeneration,14
100,django__django-15819,django/django,False,eligible_not_selected_by_locked_quota,PREPROCESSING_SCHEMA,model,"[""django/core/management/commands/inspectdb.py""]",schema_synchronization,5
101,django__django-15851,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/db/backends/postgresql/client.py""]",configuration_correction,8
102,django__django-15902,django/django,False,outside_locked_route_contracts,,runtime,"[""django/forms/formsets.py""]",,1
103,django__django-15996,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/db/migrations/serializer.py""]",serialization_format_correction,11
104,django__django-16041,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/forms/formsets.py""]",artifact_regeneration,3
105,django__django-16046,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/utils/numberformat.py""]",schema_synchronization,4
106,django__django-16139,django/django,False,outside_locked_route_contracts,,model,"[""django/contrib/auth/forms.py""]",,1
107,django__django-16229,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,model,"[""django/forms/boundfield.py""]",schema_synchronization,3
108,django__django-16255,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/contrib/sitemaps/__init__.py""]",artifact_regeneration,7
109,django__django-16379,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,artifact,"[""django/core/cache/backends/filebased.py""]",artifact_regeneration,32
110,django__django-16400,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/contrib/auth/management/__init__.py""]",configuration_correction,9
111,django__django-16408,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/compiler.py""]",artifact_regeneration,3
112,django__django-16527,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/contrib/admin/templatetags/admin_modify.py""]",serialization_format_correction,9
113,django__django-16595,django/django,False,outside_locked_route_contracts,,model,"[""django/db/migrations/operations/fields.py""]",,1
114,django__django-16816,django/django,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,runtime,"[""django/contrib/admin/checks.py""]",artifact_regeneration,71
115,django__django-16820,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/db/migrations/operations/models.py""]",schema_synchronization,29
116,django__django-16873,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/template/defaultfilters.py""]",artifact_regeneration,4
117,django__django-16910,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/sql/query.py""]",,1
118,django__django-17051,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/query.py""]",,1
119,django__django-17087,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/db/migrations/serializer.py""]",serialization_format_correction,6
120,matplotlib__matplotlib-18869,matplotlib/matplotlib,False,feature_or_enhancement,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/__init__.py""]",dependency_pin_update,62
121,matplotlib__matplotlib-22711,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""lib/matplotlib/widgets.py""]",schema_synchronization,8
122,matplotlib__matplotlib-22835,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,preprocessing,"[""lib/matplotlib/artist.py""]",artifact_regeneration,7
123,matplotlib__matplotlib-23299,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/__init__.py""]",dependency_pin_update,4
124,matplotlib__matplotlib-23314,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/mpl_toolkits/mplot3d/axes3d.py""]",dependency_pin_update,4
125,matplotlib__matplotlib-23476,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""lib/matplotlib/figure.py""]",artifact_regeneration,11
126,matplotlib__matplotlib-23562,matplotlib/matplotlib,False,outside_locked_route_contracts,DEPENDENCY_VERSION,runtime,"[""lib/mpl_toolkits/mplot3d/art3d.py""]",dependency_pin_update,2
127,matplotlib__matplotlib-23563,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""lib/mpl_toolkits/mplot3d/art3d.py""]",artifact_regeneration,19
128,matplotlib__matplotlib-23913,matplotlib/matplotlib,False,feature_or_enhancement,DEPENDENCY_VERSION,configuration,"[""lib/matplotlib/legend.py""]",dependency_pin_update,3
129,matplotlib__matplotlib-23964,matplotlib/matplotlib,True,accepted_for_h10_c5,SERIALIZATION,artifact,"[""lib/matplotlib/backends/backend_ps.py""]",serialization_format_correction,27
130,matplotlib__matplotlib-23987,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/figure.py""]",dependency_pin_update,6
131,matplotlib__matplotlib-24149,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,runtime,"[""lib/matplotlib/axes/_axes.py""]",schema_synchronization,6
132,matplotlib__matplotlib-24265,matplotlib/matplotlib,True,accepted_for_h10_c5,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/style/core.py""]",dependency_pin_update,21
133,matplotlib__matplotlib-24334,matplotlib/matplotlib,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,runtime,"[""lib/matplotlib/axis.py""]",configuration_correction,2
134,matplotlib__matplotlib-24970,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/colors.py""]",dependency_pin_update,10
135,matplotlib__matplotlib-25079,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""lib/matplotlib/colors.py""]",artifact_regeneration,15
136,matplotlib__matplotlib-25311,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""lib/matplotlib/offsetbox.py""]",serialization_format_correction,6
137,matplotlib__matplotlib-25332,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""lib/matplotlib/cbook.py""]",serialization_format_correction,7
138,matplotlib__matplotlib-25433,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/matplotlib/figure.py""]",dependency_pin_update,6
139,matplotlib__matplotlib-25442,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""lib/matplotlib/offsetbox.py""]",artifact_regeneration,6
140,matplotlib__matplotlib-25498,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""lib/matplotlib/colorbar.py""]",artifact_regeneration,6
141,matplotlib__matplotlib-26011,matplotlib/matplotlib,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,configuration,"[""lib/matplotlib/axis.py""]",configuration_correction,2
142,matplotlib__matplotlib-26020,matplotlib/matplotlib,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""lib/mpl_toolkits/axes_grid1/axes_grid.py""]",dependency_pin_update,10
143,mwaskom__seaborn-2848,mwaskom/seaborn,False,eligible_not_selected_by_locked_quota,PREPROCESSING_SCHEMA,runtime,"[""seaborn/_oldcore.py""]",schema_synchronization,4
144,mwaskom__seaborn-3010,mwaskom/seaborn,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""seaborn/_stats/regression.py""]",artifact_regeneration,14
145,mwaskom__seaborn-3190,mwaskom/seaborn,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""seaborn/_core/scales.py""]",artifact_regeneration,4
146,mwaskom__seaborn-3407,mwaskom/seaborn,True,accepted_for_h10_c5,DATA_CONTRACT,data_schema,"[""seaborn/axisgrid.py""]",schema_synchronization,25
147,pallets__flask-4045,pallets/flask,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""src/flask/blueprints.py""]",artifact_regeneration,3
148,pallets__flask-4992,pallets/flask,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,configuration,"[""src/flask/config.py""]",artifact_regeneration,41
149,pallets__flask-5063,pallets/flask,False,feature_or_enhancement,PIPELINE_CONFIGURATION,configuration,"[""src/flask/cli.py""]",configuration_correction,9
150,psf__requests-1963,psf/requests,False,outside_locked_route_contracts,,runtime,"[""requests/sessions.py""]",,1
151,psf__requests-2148,psf/requests,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""requests/models.py""]",artifact_regeneration,14
152,psf__requests-2317,psf/requests,False,outside_locked_route_contracts,,model,"[""requests/sessions.py""]",,1
153,psf__requests-2674,psf/requests,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,runtime,"[""requests/adapters.py""]",artifact_regeneration,2
154,psf__requests-3362,psf/requests,False,outside_locked_route_contracts,SERIALIZATION,preprocessing,"[""requests/utils.py""]",serialization_format_correction,2
155,psf__requests-863,psf/requests,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""requests/models.py""]",artifact_regeneration,2
156,pydata__xarray-3364,pydata/xarray,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""xarray/core/concat.py""]",schema_synchronization,12
157,pydata__xarray-4094,pydata/xarray,True,accepted_for_h10_c5,DATA_CONTRACT,data_schema,"[""xarray/core/dataarray.py""]",schema_synchronization,20
158,pydata__xarray-4248,pydata/xarray,False,feature_or_enhancement,DATA_CONTRACT,data_schema,"[""xarray/core/formatting.py""]",schema_synchronization,20
159,pydata__xarray-4493,pydata/xarray,True,accepted_for_h10_c5,DATA_CONTRACT,data_schema,"[""xarray/core/variable.py""]",schema_synchronization,36
160,pydata__xarray-5131,pydata/xarray,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""xarray/core/groupby.py""]",schema_synchronization,14
161,pylint-dev__pylint-5859,pylint-dev/pylint,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""pylint/checkers/misc.py""]",configuration_correction,9
162,pylint-dev__pylint-6506,pylint-dev/pylint,True,accepted_for_h10_c5,PIPELINE_CONFIGURATION,configuration,"[""pylint/config/config_initialization.py""]",configuration_correction,38
163,pylint-dev__pylint-7080,pylint-dev/pylint,True,accepted_for_h10_c5,PIPELINE_CONFIGURATION,configuration,"[""pylint/lint/expand_modules.py""]",configuration_correction,69
164,pylint-dev__pylint-7114,pylint-dev/pylint,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,runtime,"[""pylint/lint/expand_modules.py""]",artifact_regeneration,32
165,pylint-dev__pylint-7228,pylint-dev/pylint,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,configuration,"[""pylint/config/argument.py""]",artifact_regeneration,26
166,pylint-dev__pylint-7993,pylint-dev/pylint,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,dependencies,"[""pylint/reporters/text.py""]",configuration_correction,10
167,pytest-dev__pytest-11143,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""src/_pytest/assertion/rewrite.py""]",artifact_regeneration,14
168,pytest-dev__pytest-11148,pytest-dev/pytest,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,configuration,"[""src/_pytest/pathlib.py""]",artifact_regeneration,23
169,pytest-dev__pytest-5103,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""src/_pytest/assertion/rewrite.py""]",dependency_pin_update,3
170,pytest-dev__pytest-5221,pytest-dev/pytest,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,configuration,"[""src/_pytest/python.py""]",configuration_correction,2
171,pytest-dev__pytest-5227,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""src/_pytest/logging.py""]",artifact_regeneration,9
172,pytest-dev__pytest-5413,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,SERIALIZATION,runtime,"[""src/_pytest/_code/code.py""]",serialization_format_correction,7
173,pytest-dev__pytest-5495,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,EXPLAINER_CONFIGURATION,explainer,"[""src/_pytest/assertion/util.py""]",configuration_correction,5
174,pytest-dev__pytest-5692,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""src/_pytest/junitxml.py""]",artifact_regeneration,5
175,pytest-dev__pytest-6116,pytest-dev/pytest,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""src/_pytest/main.py""]",configuration_correction,3
176,pytest-dev__pytest-7168,pytest-dev/pytest,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,runtime,"[""src/_pytest/_io/saferepr.py""]",artifact_regeneration,47
177,pytest-dev__pytest-7220,pytest-dev/pytest,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,runtime,"[""src/_pytest/nodes.py""]",artifact_regeneration,28
