incident_id,repository_id,split,method,gold_source_component,gold_contract_family,predicted_source_component,predicted_contract_family,source_and_contract_localization_success,file_hit_at_1,file_hit_at_3,component_precision,component_recall,component_F1,repair_set_precision,repair_set_recall,repair_set_F1,exact_repair_set_match,abstention_rate,false_localization_rate,new_critical_violation_count,full_recertification_success,project_test_pass,benchmark_fail_to_pass_available,evidence_access_count,distinct_artifacts_opened,hypothesis_count,test_rerun_count,repair_action_count,recertification_check_count,formal_operation_cost,machine_runtime_ms,predicted_repair_operation,gold_repair_operation
matplotlib__matplotlib-23964,matplotlib/matplotlib,development,B_RULE,artifact,SERIALIZATION,artifact,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.607572,dependency_pin_update,serialization_format_correction
matplotlib__matplotlib-23964,matplotlib/matplotlib,development,B_GREEDY,artifact,SERIALIZATION,artifact,SERIALIZATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.5965130000000001,serialization_format_correction,serialization_format_correction
matplotlib__matplotlib-23964,matplotlib/matplotlib,development,O_ROUTE,artifact,SERIALIZATION,artifact,SERIALIZATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,1.185057,serialization_format_correction,serialization_format_correction
matplotlib__matplotlib-24265,matplotlib/matplotlib,development,B_TRACE,dependencies,DEPENDENCY_VERSION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.091684,configuration_correction,dependency_pin_update
matplotlib__matplotlib-24265,matplotlib/matplotlib,development,B_RULE,dependencies,DEPENDENCY_VERSION,dependencies,DEPENDENCY_VERSION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,3,3.0,0.205129,dependency_pin_update,dependency_pin_update
matplotlib__matplotlib-24265,matplotlib/matplotlib,development,B_GREEDY,dependencies,DEPENDENCY_VERSION,dependencies,DEPENDENCY_VERSION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.251778,dependency_pin_update,dependency_pin_update
matplotlib__matplotlib-24265,matplotlib/matplotlib,development,O_ROUTE,dependencies,DEPENDENCY_VERSION,dependencies,DEPENDENCY_VERSION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.451476,dependency_pin_update,dependency_pin_update
mwaskom__seaborn-3407,mwaskom/seaborn,development,B_TRACE,data_schema,DATA_CONTRACT,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.170614,configuration_correction,schema_synchronization
mwaskom__seaborn-3407,mwaskom/seaborn,development,B_RULE,data_schema,DATA_CONTRACT,data_schema,PREPROCESSING_SCHEMA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.393936,schema_synchronization,schema_synchronization
mwaskom__seaborn-3407,mwaskom/seaborn,development,B_GREEDY,data_schema,DATA_CONTRACT,data_schema,DATA_CONTRACT,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.335638,schema_synchronization,schema_synchronization
mwaskom__seaborn-3407,mwaskom/seaborn,development,O_ROUTE,data_schema,DATA_CONTRACT,data_schema,DATA_CONTRACT,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.678455,schema_synchronization,schema_synchronization
pallets__flask-4992,pallets/flask,held_out,B_TRACE,configuration,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.085704,configuration_correction,artifact_regeneration
pallets__flask-4992,pallets/flask,held_out,B_RULE,configuration,ARTIFACT_PROVENANCE,configuration,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,3,3.0,0.206732,artifact_regeneration,artifact_regeneration
pallets__flask-4992,pallets/flask,held_out,B_GREEDY,configuration,ARTIFACT_PROVENANCE,configuration,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.15523399999999998,artifact_regeneration,artifact_regeneration
pallets__flask-4992,pallets/flask,held_out,O_ROUTE,configuration,ARTIFACT_PROVENANCE,configuration,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.348821,artifact_regeneration,artifact_regeneration
pydata__xarray-4094,pydata/xarray,held_out,B_TRACE,data_schema,DATA_CONTRACT,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.11548800000000001,configuration_correction,schema_synchronization
pydata__xarray-4094,pydata/xarray,held_out,B_RULE,data_schema,DATA_CONTRACT,dependencies,DEPENDENCY_VERSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.240096,dependency_pin_update,schema_synchronization
pydata__xarray-4094,pydata/xarray,held_out,B_GREEDY,data_schema,DATA_CONTRACT,dependencies,DATA_CONTRACT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,0,4.0,0.194911,schema_synchronization,schema_synchronization
pydata__xarray-4094,pydata/xarray,held_out,O_ROUTE,data_schema,DATA_CONTRACT,dependencies,DATA_CONTRACT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,0,8.0,0.417733,schema_synchronization,schema_synchronization
pydata__xarray-4493,pydata/xarray,held_out,B_TRACE,data_schema,DATA_CONTRACT,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.158861,configuration_correction,schema_synchronization
pydata__xarray-4493,pydata/xarray,held_out,B_RULE,data_schema,DATA_CONTRACT,data_schema,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.350555,dependency_pin_update,schema_synchronization
pydata__xarray-4493,pydata/xarray,held_out,B_GREEDY,data_schema,DATA_CONTRACT,data_schema,DATA_CONTRACT,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.27621300000000004,schema_synchronization,schema_synchronization
pydata__xarray-4493,pydata/xarray,held_out,O_ROUTE,data_schema,DATA_CONTRACT,data_schema,DATA_CONTRACT,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.591789,schema_synchronization,schema_synchronization
pylint-dev__pylint-6506,pylint-dev/pylint,held_out,B_TRACE,configuration,PIPELINE_CONFIGURATION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.113006,configuration_correction,configuration_correction
pylint-dev__pylint-6506,pylint-dev/pylint,held_out,B_RULE,configuration,PIPELINE_CONFIGURATION,configuration,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.27015,dependency_pin_update,configuration_correction
pylint-dev__pylint-6506,pylint-dev/pylint,held_out,B_GREEDY,configuration,PIPELINE_CONFIGURATION,configuration,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.216973,configuration_correction,configuration_correction
pylint-dev__pylint-6506,pylint-dev/pylint,held_out,O_ROUTE,configuration,PIPELINE_CONFIGURATION,configuration,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.472323,configuration_correction,configuration_correction
pylint-dev__pylint-7080,pylint-dev/pylint,held_out,B_TRACE,configuration,PIPELINE_CONFIGURATION,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,1.4548,configuration_correction,configuration_correction
pylint-dev__pylint-7080,pylint-dev/pylint,held_out,B_RULE,configuration,PIPELINE_CONFIGURATION,configuration,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,2.993137,dependency_pin_update,configuration_correction
pylint-dev__pylint-7080,pylint-dev/pylint,held_out,B_GREEDY,configuration,PIPELINE_CONFIGURATION,configuration,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,4.053648,configuration_correction,configuration_correction
pylint-dev__pylint-7080,pylint-dev/pylint,held_out,O_ROUTE,configuration,PIPELINE_CONFIGURATION,configuration,PIPELINE_CONFIGURATION,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,8.664282,configuration_correction,configuration_correction
pylint-dev__pylint-7114,pylint-dev/pylint,held_out,B_TRACE,runtime,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.120479,configuration_correction,artifact_regeneration
pylint-dev__pylint-7114,pylint-dev/pylint,held_out,B_RULE,runtime,ARTIFACT_PROVENANCE,runtime,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.247961,dependency_pin_update,artifact_regeneration
pylint-dev__pylint-7114,pylint-dev/pylint,held_out,B_GREEDY,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.198427,artifact_regeneration,artifact_regeneration
pylint-dev__pylint-7114,pylint-dev/pylint,held_out,O_ROUTE,runtime,ARTIFACT_PROVENANCE,dependencies,ARTIFACT_PROVENANCE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,0,8.0,0.433662,artifact_regeneration,artifact_regeneration
pylint-dev__pylint-7228,pylint-dev/pylint,held_out,B_TRACE,configuration,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.212242,configuration_correction,artifact_regeneration
pylint-dev__pylint-7228,pylint-dev/pylint,held_out,B_RULE,configuration,ARTIFACT_PROVENANCE,configuration,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.58018,dependency_pin_update,artifact_regeneration
pylint-dev__pylint-7228,pylint-dev/pylint,held_out,B_GREEDY,configuration,ARTIFACT_PROVENANCE,configuration,PIPELINE_CONFIGURATION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,0,4.0,0.587687,configuration_correction,artifact_regeneration
pylint-dev__pylint-7228,pylint-dev/pylint,held_out,O_ROUTE,configuration,ARTIFACT_PROVENANCE,dependencies,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,0,8.0,1.158577,configuration_correction,artifact_regeneration
pytest-dev__pytest-11148,pytest-dev/pytest,held_out,B_TRACE,configuration,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.190081,configuration_correction,artifact_regeneration
pytest-dev__pytest-11148,pytest-dev/pytest,held_out,B_RULE,configuration,ARTIFACT_PROVENANCE,configuration,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.416701,dependency_pin_update,artifact_regeneration
pytest-dev__pytest-11148,pytest-dev/pytest,held_out,B_GREEDY,configuration,ARTIFACT_PROVENANCE,configuration,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.349744,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-11148,pytest-dev/pytest,held_out,O_ROUTE,configuration,ARTIFACT_PROVENANCE,configuration,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.717538,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-7168,pytest-dev/pytest,held_out,B_TRACE,runtime,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.471816,configuration_correction,artifact_regeneration
pytest-dev__pytest-7168,pytest-dev/pytest,held_out,B_RULE,runtime,ARTIFACT_PROVENANCE,runtime,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,1.118381,dependency_pin_update,artifact_regeneration
pytest-dev__pytest-7168,pytest-dev/pytest,held_out,B_GREEDY,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,1.394165,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-7168,pytest-dev/pytest,held_out,O_ROUTE,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,3.122653,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-7220,pytest-dev/pytest,held_out,B_TRACE,runtime,ARTIFACT_PROVENANCE,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.16845,configuration_correction,artifact_regeneration
pytest-dev__pytest-7220,pytest-dev/pytest,held_out,B_RULE,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,3,3.0,0.333563,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-7220,pytest-dev/pytest,held_out,B_GREEDY,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,3,4.0,0.26752,artifact_regeneration,artifact_regeneration
pytest-dev__pytest-7220,pytest-dev/pytest,held_out,O_ROUTE,runtime,ARTIFACT_PROVENANCE,runtime,ARTIFACT_PROVENANCE,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.579286,artifact_regeneration,artifact_regeneration
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,held_out,B_TRACE,data_schema,PREPROCESSING_SCHEMA,runtime,PIPELINE_CONFIGURATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,2,2,0,0,1,0,2.0,0.10500899999999999,configuration_correction,schema_synchronization
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,held_out,B_RULE,data_schema,PREPROCESSING_SCHEMA,data_schema,DEPENDENCY_VERSION,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,3,3,1,0,1,0,3.0,0.182958,dependency_pin_update,schema_synchronization
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,held_out,B_GREEDY,data_schema,PREPROCESSING_SCHEMA,data_schema,DATA_CONTRACT,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,NOT_EXECUTED_LOCAL_PROJECT,True,4,5,1,0,1,0,4.0,0.150727,schema_synchronization,schema_synchronization
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,held_out,O_ROUTE,data_schema,PREPROCESSING_SCHEMA,data_schema,PREPROCESSING_SCHEMA,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,NOT_EXECUTED_LOCAL_PROJECT,True,8,8,1,0,1,3,8.0,0.327138,schema_synchronization,schema_synchronization
